"table_schema","table_name","column_name","data_type","is_nullable","column_default","constraint_type"
"public","ai_audit_log","id","uuid","NO","uuid_generate_v4()","PRIMARY KEY"
"public","ai_audit_log","user_id","uuid","YES",NULL,"FOREIGN KEY"
"public","ai_audit_log","prompt","text","YES",NULL,NULL
"public","ai_audit_log","gpt_response","text","YES",NULL,NULL
"public","ai_audit_log","module","text","YES",NULL,NULL
"public","ai_audit_log","created_at","timestamp without time zone","YES","now()",NULL
"public","appointment","id","uuid","NO","uuid_generate_v4()","PRIMARY KEY"
"public","appointment","customer_id","uuid","YES",NULL,"FOREIGN KEY"
"public","appointment","branch_id","uuid","YES",NULL,"FOREIGN KEY"
"public","appointment","doctor_id","uuid","YES",NULL,"FOREIGN KEY"
"public","appointment","type_id","uuid","YES",NULL,"FOREIGN KEY"
"public","appointment","status","USER-DEFINED","YES","'booked'::appointment_status_enum",NULL
"public","appointment","scheduled_at","timestamp without time zone","YES",NULL,NULL
"public","appointment","duration_minutes","integer","YES",NULL,NULL
"public","appointment","notes","text","YES",NULL,NULL
"public","appointment","external_ref","text","YES",NULL,NULL
"public","appointment","is_deleted","boolean","YES","false",NULL
"public","appointment","created_at","timestamp without time zone","YES","now()",NULL
"public","appointment_type","id","uuid","NO","uuid_generate_v4()","PRIMARY KEY"
"public","appointment_type","tenant_id","uuid","YES",NULL,"FOREIGN KEY"
"public","appointment_type","name","text","YES",NULL,NULL
"public","appointment_type","description","text","YES",NULL,NULL
"public","appointment_type","duration_minutes","integer","YES",NULL,NULL
"public","appointment_type","created_at","timestamp without time zone","YES","now()",NULL
"public","asset","id","uuid","NO","uuid_generate_v4()","PRIMARY KEY"
"public","asset","tenant_id","uuid","YES",NULL,"FOREIGN KEY"
"public","asset","branch_id","uuid","YES",NULL,"FOREIGN KEY"
"public","asset","name","text","YES",NULL,NULL
"public","asset","value","numeric","YES",NULL,NULL
"public","asset","acquired_at","timestamp without time zone","YES",NULL,NULL
"public","asset","status","USER-DEFINED","YES","'active'::entity_status_enum",NULL
"public","audit_log","id","uuid","NO","uuid_generate_v4()","PRIMARY KEY"
"public","audit_log","user_id","uuid","YES",NULL,"FOREIGN KEY"
"public","audit_log","action","text","YES",NULL,NULL
"public","audit_log","module","text","YES",NULL,NULL
"public","audit_log","old_data","jsonb","YES",NULL,NULL
"public","audit_log","new_data","jsonb","YES",NULL,NULL
"public","audit_log","created_at","timestamp without time zone","YES","now()",NULL
"public","balance_sheet_summary","tenant_id","uuid","YES",NULL,NULL
"public","balance_sheet_summary","total_assets","numeric","YES",NULL,NULL
"public","balance_sheet_summary","total_liabilities","numeric","YES",NULL,NULL
"public","balance_sheet_summary","total_equity","numeric","YES",NULL,NULL
"public","branch","id","uuid","NO","uuid_generate_v4()","PRIMARY KEY"
"public","branch","tenant_id","uuid","YES",NULL,"UNIQUE"
"public","branch","tenant_id","uuid","YES",NULL,"FOREIGN KEY"
"public","branch","name","text","NO",NULL,"UNIQUE"
"public","branch","address","text","YES",NULL,NULL
"public","branch","province","text","YES",NULL,NULL
"public","branch","status","USER-DEFINED","YES","'active'::entity_status_enum",NULL
"public","branch","is_deleted","boolean","YES","false",NULL
"public","branch_slot_template","id","uuid","NO","uuid_generate_v4()","PRIMARY KEY"
"public","branch_slot_template","branch_id","uuid","YES",NULL,"FOREIGN KEY"
"public","branch_slot_template","day_of_week","integer","YES",NULL,NULL
"public","branch_slot_template","total_slot","integer","NO",NULL,NULL
"public","business_loan","id","uuid","NO","uuid_generate_v4()","PRIMARY KEY"
"public","business_loan","tenant_id","uuid","YES",NULL,"FOREIGN KEY"
"public","business_loan","branch_id","uuid","YES",NULL,"FOREIGN KEY"
"public","business_loan","lender_name","text","NO",NULL,NULL
"public","business_loan","loan_amount","numeric","NO",NULL,NULL
"public","business_loan","interest_rate","double precision","YES","0",NULL
"public","business_loan","start_date","date","YES",NULL,NULL
"public","business_loan","due_date","date","YES",NULL,NULL
"public","business_loan","status","text","YES","'active'::text",NULL
"public","business_loan","notes","text","YES",NULL,NULL
"public","business_loan","created_at","timestamp without time zone","YES","now()",NULL
"public","campaign_log","id","uuid","NO","uuid_generate_v4()","PRIMARY KEY"
"public","campaign_log","customer_id","uuid","YES",NULL,"FOREIGN KEY"
"public","campaign_log","campaign_name","text","YES",NULL,NULL
"public","campaign_log","sent_at","timestamp without time zone","YES","now()",NULL
"public","campaign_log","channel","text","YES",NULL,NULL
"public","campaign_log","result","text","YES",NULL,NULL
"public","cash_snapshot","id","uuid","NO","uuid_generate_v4()","PRIMARY KEY"
"public","cash_snapshot","tenant_id","uuid","YES",NULL,"FOREIGN KEY"
"public","cash_snapshot","date","date","NO",NULL,NULL
"public","cash_snapshot","cash_on_hand","numeric","NO",NULL,NULL
"public","cash_snapshot","notes","text","YES",NULL,NULL
"public","cash_snapshot","created_at","timestamp without time zone","YES","now()",NULL
"public","chat_integration_config","id","uuid","NO","uuid_generate_v4()","PRIMARY KEY"
"public","chat_integration_config","tenant_id","uuid","YES",NULL,"FOREIGN KEY"
"public","chat_integration_config","branch_id","uuid","YES",NULL,"FOREIGN KEY"
"public","chat_integration_config","platform","text","YES",NULL,NULL
"public","chat_integration_config","channel_id","text","YES",NULL,NULL
"public","chat_integration_config","access_token","text","YES",NULL,NULL
"public","chat_integration_config","secret_key","text","YES",NULL,NULL
"public","chat_integration_config","webhook_url","text","YES",NULL,NULL
"public","chat_integration_config","config_json","jsonb","YES",NULL,NULL
"public","chat_integration_config","active","boolean","YES","true",NULL
"public","chat_integration_config","created_by","uuid","YES",NULL,"FOREIGN KEY"
"public","chat_integration_config","created_at","timestamp without time zone","YES","now()",NULL
"public","chat_log","id","uuid","NO","uuid_generate_v4()","PRIMARY KEY"
"public","chat_log","tenant_id","uuid","YES",NULL,"FOREIGN KEY"
"public","chat_log","branch_id","uuid","YES",NULL,"FOREIGN KEY"
"public","chat_log","platform","text","YES",NULL,NULL
"public","chat_log","sender","text","YES",NULL,NULL
"public","chat_log","receiver","text","YES",NULL,NULL
"public","chat_log","message","text","YES",NULL,NULL
"public","chat_log","is_bot","boolean","YES",NULL,NULL
"public","chat_log","is_fallback","boolean","YES",NULL,NULL
"public","chat_log","received_at","timestamp without time zone","YES",NULL,NULL
"public","chat_log","responded_at","timestamp without time zone","YES",NULL,NULL
"public","chat_log","response_time_secs","integer","YES",NULL,NULL
"public","course_category","id","uuid","NO","uuid_generate_v4()","PRIMARY KEY"
"public","course_category","tenant_id","uuid","YES",NULL,"FOREIGN KEY"
"public","course_category","name","text","YES",NULL,NULL
"public","course_category","description","text","YES",NULL,NULL
"public","course_category","created_at","timestamp without time zone","YES","now()",NULL
"public","course_package","id","uuid","NO","uuid_generate_v4()","PRIMARY KEY"
"public","course_package","category_id","uuid","YES",NULL,"FOREIGN KEY"
"public","course_package","name","text","YES",NULL,NULL
"public","course_package","description","text","YES",NULL,NULL
"public","course_package","price","numeric","YES",NULL,NULL
"public","course_package","total_session","integer","YES",NULL,NULL
"public","course_package","validity_days","integer","YES",NULL,NULL
"public","course_package","status","USER-DEFINED","YES","'active'::entity_status_enum",NULL
"public","course_package","is_deleted","boolean","YES","false",NULL
"public","course_package","created_at","timestamp without time zone","YES","now()",NULL
"public","course_service","id","uuid","NO","uuid_generate_v4()","PRIMARY KEY"
"public","course_service","package_id","uuid","YES",NULL,"FOREIGN KEY"
"public","course_service","service_id","uuid","YES",NULL,"FOREIGN KEY"
"public","course_service","required_sessions","integer","YES",NULL,NULL
"public","course_service","created_at","timestamp without time zone","YES","now()",NULL
"public","crm_task_assign","id","uuid","NO","uuid_generate_v4()","PRIMARY KEY"
"public","crm_task_assign","customer_id","uuid","YES",NULL,"FOREIGN KEY"
"public","crm_task_assign","assigned_to","uuid","YES",NULL,"FOREIGN KEY"
"public","crm_task_assign","priority","text","YES","'medium'::text",NULL
"public","crm_task_assign","status","text","YES","'open'::text",NULL
"public","crm_task_assign","due_date","date","YES",NULL,NULL
"public","crm_task_assign","created_at","timestamp without time zone","YES","now()",NULL
"public","customer","id","uuid","NO","uuid_generate_v4()","PRIMARY KEY"
"public","customer","tenant_id","uuid","YES",NULL,"UNIQUE"
"public","customer","tenant_id","uuid","YES",NULL,"FOREIGN KEY"
"public","customer","name","text","YES",NULL,"UNIQUE"
"public","customer","phone","text","YES",NULL,"UNIQUE"
"public","customer","phone","text","YES",NULL,"UNIQUE"
"public","customer","email","text","NO",NULL,NULL
"public","customer","dob","date","YES",NULL,NULL
"public","customer","gender","USER-DEFINED","YES",NULL,NULL
"public","customer","address","text","YES",NULL,NULL
"public","customer","emergency_contact","text","YES",NULL,NULL
"public","customer","medical_history","text","YES",NULL,NULL
"public","customer","allergies","text","YES",NULL,NULL
"public","customer","segment","text","YES",NULL,NULL
"public","customer","created_by","uuid","YES",NULL,"FOREIGN KEY"
"public","customer","updated_by","uuid","YES",NULL,"FOREIGN KEY"
"public","customer","created_at","timestamp without time zone","YES","now()",NULL
"public","customer","updated_at","timestamp without time zone","YES","now()",NULL
"public","customer","deleted_at","timestamp without time zone","YES",NULL,NULL
"public","customer","is_deleted","boolean","YES","false",NULL
"public","customer_course","id","uuid","NO","uuid_generate_v4()","PRIMARY KEY"
"public","customer_course","customer_id","uuid","YES",NULL,"FOREIGN KEY"
"public","customer_course","package_id","uuid","YES",NULL,"FOREIGN KEY"
"public","customer_course","branch_id","uuid","YES",NULL,"FOREIGN KEY"
"public","customer_course","purchased_at","timestamp without time zone","YES","now()",NULL
"public","customer_course","start_date","date","YES",NULL,NULL
"public","customer_course","end_date","date","YES",NULL,NULL
"public","customer_course","remaining_sessions","integer","YES",NULL,NULL
"public","customer_course","status","USER-DEFINED","YES","'active'::entity_status_enum",NULL
"public","customer_course","transaction_id","text","YES",NULL,NULL
"public","customer_course","notes","text","YES",NULL,NULL
"public","customer_course","created_by","uuid","YES",NULL,"FOREIGN KEY"
"public","customer_course","created_at","timestamp without time zone","YES","now()",NULL
"public","customer_note","id","uuid","NO","uuid_generate_v4()","PRIMARY KEY"
"public","customer_note","customer_id","uuid","YES",NULL,"FOREIGN KEY"
"public","customer_note","created_by","uuid","YES",NULL,"FOREIGN KEY"
"public","customer_note","type","USER-DEFINED","YES",NULL,NULL
"public","customer_note","content","text","YES",NULL,NULL
"public","customer_note","sentiment_score","double precision","YES",NULL,NULL
"public","customer_note","keyword_tag","ARRAY","YES",NULL,NULL
"public","customer_note","created_at","timestamp without time zone","YES","now()",NULL
"public","doctor","id","uuid","NO","uuid_generate_v4()","PRIMARY KEY"
"public","doctor","user_id","uuid","YES",NULL,"UNIQUE"
"public","doctor","user_id","uuid","YES",NULL,"FOREIGN KEY"
"public","doctor","branch_id","uuid","YES",NULL,"FOREIGN KEY"
"public","doctor","specialization","text","YES",NULL,NULL
"public","doctor","license_number","text","YES",NULL,NULL
"public","doctor","status","USER-DEFINED","YES","'active'::entity_status_enum",NULL
"public","doctor","is_deleted","boolean","YES","false",NULL
"public","doctor","created_at","timestamp without time zone","YES","now()",NULL
"public","doctor_schedule","id","uuid","NO","uuid_generate_v4()","PRIMARY KEY"
"public","doctor_schedule","doctor_id","uuid","YES",NULL,"UNIQUE"
"public","doctor_schedule","doctor_id","uuid","YES",NULL,"FOREIGN KEY"
"public","doctor_schedule","branch_id","uuid","YES",NULL,"FOREIGN KEY"
"public","doctor_schedule","day_of_week","integer","YES",NULL,"UNIQUE"
"public","doctor_schedule","start_time","time without time zone","YES",NULL,"UNIQUE"
"public","doctor_schedule","end_time","time without time zone","YES",NULL,"UNIQUE"
"public","doctor_schedule","is_available","boolean","YES","true",NULL
"public","doctor_schedule","created_at","timestamp without time zone","YES","now()",NULL
"public","employee_salary","id","uuid","NO","uuid_generate_v4()","PRIMARY KEY"
"public","employee_salary","user_id","uuid","YES",NULL,"FOREIGN KEY"
"public","employee_salary","base_salary","numeric","NO",NULL,NULL
"public","employee_salary","bonus","numeric","YES","0",NULL
"public","employee_salary","payroll_date","date","NO",NULL,NULL
"public","employee_salary","payment_status","text","YES","'pending'::text",NULL
"public","employee_salary","notes","text","YES",NULL,NULL
"public","employee_salary","created_at","timestamp without time zone","YES","now()",NULL
"public","equity","id","uuid","NO","uuid_generate_v4()","PRIMARY KEY"
"public","equity","tenant_id","uuid","YES",NULL,"FOREIGN KEY"
"public","equity","value","numeric","YES",NULL,NULL
"public","equity","source","text","YES",NULL,NULL
"public","equity","recorded_at","timestamp without time zone","YES","now()",NULL
"public","expense","id","uuid","NO","uuid_generate_v4()","PRIMARY KEY"
"public","expense","tenant_id","uuid","YES",NULL,"FOREIGN KEY"
"public","expense","branch_id","uuid","YES",NULL,"FOREIGN KEY"
"public","expense","category","text","YES",NULL,NULL
"public","expense","expense_type","text","YES",NULL,NULL
"public","expense","amount","numeric","NO",NULL,NULL
"public","expense","paid_at","timestamp without time zone","YES","now()",NULL
"public","expense","description","text","YES",NULL,NULL
"public","expense","created_by","uuid","YES",NULL,"FOREIGN KEY"
"public","expense_recurring","id","uuid","NO","uuid_generate_v4()","PRIMARY KEY"
"public","expense_recurring","tenant_id","uuid","YES",NULL,"FOREIGN KEY"
"public","expense_recurring","branch_id","uuid","YES",NULL,"FOREIGN KEY"
"public","expense_recurring","name","text","YES",NULL,NULL
"public","expense_recurring","amount","numeric","YES",NULL,NULL
"public","expense_recurring","due_day","integer","YES",NULL,NULL
"public","expense_recurring","category","text","YES",NULL,NULL
"public","expense_recurring","auto_notify","boolean","YES","true",NULL
"public","expense_recurring","active","boolean","YES","true",NULL
"public","expense_recurring","created_at","timestamp without time zone","YES","now()",NULL
"public","follow_up_log","id","uuid","NO","uuid_generate_v4()","PRIMARY KEY"
"public","follow_up_log","customer_id","uuid","YES",NULL,"FOREIGN KEY"
"public","follow_up_log","method","text","YES",NULL,NULL
"public","follow_up_log","staff_id","uuid","YES",NULL,"FOREIGN KEY"
"public","follow_up_log","result","text","YES",NULL,NULL
"public","follow_up_log","note","text","YES",NULL,NULL
"public","follow_up_log","next_follow_date","date","YES",NULL,NULL
"public","follow_up_log","created_at","timestamp without time zone","YES","now()",NULL
